Date,Open,High,Low,Close,Adj Close,Volume
2018-08-13,12346.750000,12396.860352,12323.200195,12358.740234,12358.740234,92773600
2018-08-14,12444.629883,12461.820313,12294.900391,12358.870117,12358.870117,82021800
2018-08-15,12400.269531,12428.559570,12120.650391,12163.009766,12163.009766,99703000
2018-08-16,12202.129883,12251.400391,12168.919922,12237.169922,12237.169922,81469900
2018-08-17,12242.059570,12244.669922,12135.639648,12210.549805,12210.549805,86038300
2018-08-20,12263.009766,12373.360352,12245.559570,12331.299805,12331.299805,59670900
2018-08-21,12320.559570,12432.660156,12316.349609,12384.490234,12384.490234,68597400
2018-08-22,12355.530273,12438.660156,12345.320313,12385.700195,12385.700195,77192800
2018-08-23,12367.480469,12411.009766,12353.549805,12365.580078,12365.580078,63669000
2018-08-24,12396.690430,12444.349609,12344.450195,12394.519531,12394.519531,59051400
2018-08-27,12462.750000,12562.370117,12429.339844,12538.309570,12538.309570,52201900
2018-08-28,12578.650391,12597.019531,12527.419922,12527.419922,12527.419922,72899400
2018-08-29,12553.860352,12569.059570,12499.530273,12561.679688,12561.679688,58192500
2018-08-30,12516.549805,12529.299805,12400.120117,12494.240234,12494.240234,73686200
2018-08-31,12418.259766,12426.860352,12348.910156,12364.059570,12364.059570,90277000
2018-09-03,12338.360352,12358.169922,12300.469727,12346.410156,12346.410156,50769600
2018-09-04,12389.459961,12402.870117,12162.709961,12210.209961,12210.209961,84476300
2018-09-05,12161.650391,12167.360352,12035.759766,12040.459961,12040.459961,109489900
2018-09-06,11995.809570,12091.980469,11944.500000,11955.250000,11955.250000,87442600
2018-09-07,11960.099609,11990.809570,11888.570313,11959.629883,11959.629883,101789700
2018-09-10,11950.549805,12039.219727,11930.299805,11986.339844,11986.339844,80490500
2018-09-11,12013.009766,12017.730469,11865.469727,11970.269531,11970.269531,0
2018-09-12,11989.269531,12046.660156,11952.490234,12032.299805,12032.299805,112286500
2018-09-13,12036.790039,12129.809570,12017.410156,12055.549805,12055.549805,97093400
2018-09-14,12109.370117,12134.540039,12075.580078,12124.330078,12124.330078,77747100
2018-09-17,12056.379883,12123.089844,12040.799805,12096.410156,12096.410156,69270000
2018-09-18,12097.190430,12184.410156,12064.410156,12157.669922,12157.669922,84144700
2018-09-19,12168.200195,12241.139648,12165.080078,12219.019531,12219.019531,98540100
2018-09-20,12210.950195,12354.379883,12210.570313,12326.480469,12326.480469,110135400
2018-09-21,12402.719727,12458.299805,12373.950195,12430.879883,12430.879883,400165400
2018-09-24,12383.419922,12409.959961,12349.299805,12350.820313,12350.820313,0
2018-09-25,12341.849609,12416.870117,12322.190430,12374.660156,12374.660156,83206800
2018-09-26,12395.200195,12395.919922,12329.519531,12385.889648,12385.889648,74964500
2018-09-27,12329.400391,12456.690430,12272.650391,12435.589844,12435.589844,89854700
2018-09-28,12381.360352,12394.160156,12190.570313,12246.730469,12246.730469,110639600
2018-10-01,12265.889648,12373.290039,12263.099609,12339.030273,12339.030273,76918300
2018-10-02,12229.070313,12310.759766,12203.599609,12287.580078,12287.580078,82307700
2018-10-04,12275.070313,12348.860352,12174.690430,12244.139648,12244.139648,101177000
2018-10-05,12236.290039,12245.410156,12103.549805,12111.900391,12111.900391,94036400
